,artists,genres
271,Aaron Shaw,[]
272,Aaron Shust,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']"
273,Aaron Smith,['chicago house']
274,Aaron Tippin,"['country', 'country road', 'country rock', 'redneck']"
275,Aaron Tveit,"['broadway', 'hollywood', 'show tunes']"
276,Aaron Watson,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']"
277,Aaron Y Su Grupo Ilusion,"['banda', 'cumbia', 'cumbia sonidera', 'grupera', 'regional mexican']"
278,Aaron Zigman,['soundtrack']
279,Aarti Mukherji,"['classic bollywood', 'filmi', 'indian folk']"
280,Aaryn Doyle,[]
281,Aase Ziegler,[]
282,Aazar,"['electro house', 'electronic trap']"
283,Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
284,Abandon All Ships,"['canadian metalcore', 'canadian post-hardcore', 'metalcore', 'post-screamo', 'trancecore']"
285,Abbasuddin Ahmed,[]
286,Abbey Lincoln,['vocal jazz']
287,Abby Anderson,"['contemporary country', 'country pop']"
288,Abdel Aziz Mahmoud,[]
289,Abdel Halim Hafez,"['arab folk', 'classic arab pop']"
290,Abdul,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'soft rock', 'urban contemporary']"
291,Abdul Halim Chowdhry,[]
292,Abdul Khader,[]
293,Abdulial Mahi,[]
294,Abel Zavala,"['latin christian', 'latin worship', 'rap cristiano']"
295,Abha Mukherjee,[]
296,Abha Sarkar,[]
297,Abhayapada Chatterjee,[]
298,Abhi The Nomad,"['desi hip hop', 'vapor soul']"
299,Abhishek Bachchan,[]
300,Abhram Bhagat,[]
301,Abigail Moura,[]
302,Abir,['moroccan pop']
303,Aboriginal Songman,[]
304,Above & Beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
305,Above The Law,"['g funk', 'gangster rap', 'hyphy', 'west coast rap']"
306,Abracadabra,[]
307,Abraham Goldfaden,[]
308,Abraham Gustavito,[]
309,Abraham Vazquez,"['corridos tumbados', 'regional mexican pop']"
310,Abram Chasins,[]
311,Abrasive Wheels,"['oi', 'street punk', 'uk82']"
312,Absis,[]
313,Absofacto,"['indie psych-pop', 'shimmer psych']"
314,Abstract,"['hip hop', 'lgbtq+ hip hop', 'rap']"
315,Academia dos Renascidos,[]
316,Academy Of Choir Art Of Russia,[]
317,Academy Of London,[]
318,Academy of Ancient Music,"['baroque ensemble', 'choral', 'classical performance', 'historically informed performance']"
319,Academy of St. Martin in the Fields,"['chamber orchestra', 'classical', 'classical performance']"
320,Academy of St. Martin in the Fields Chorus,[]
321,Acapulco Tropical,"['cumbia', 'cumbia sonidera', 'deep cumbia sonidera', 'grupera', 'ranchera']"
322,Accademia I Filarmonici,[]
323,Accept,"['album rock', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']"
324,Acceptance,"['christian alternative rock', 'dreamo', 'emo', 'neon pop punk', 'pop punk', 'screamo']"
325,Ace,"['florida rap', 'melodic rap', 'southern hip hop', 'trap']"
326,Ace Diamond,[]
327,Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
328,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
329,Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']"
330,Acerina Y Su Danzonera,"['bolero', 'mexican rock-and-roll', 'mexican son', 'ranchera']"
331,Aceyalone,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']"
332,Achille Togliani,"['canzone napoletana', 'classic italian pop', 'vintage italian pop']"
333,Acid Bath,"['doom metal', 'louisiana metal', 'sludge metal', 'stoner metal']"
334,Acid Ghost,['indie garage rock']
335,Acid King,"['doom metal', 'drone metal', 'gaian doom', 'psychedelic doom', 'retro metal', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']"
336,Acker Bilk,"['adult standards', 'ballroom', 'brill building pop', 'easy listening', 'jazz clarinet', 'lounge']"
337,Acoustic Alchemy,"['british jazz', 'rumba', 'smooth jazz']"
338,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
